text	question	true_1	true_2	true_3	true_4	true_5	false_1	false_2	false_3	false_4	false_5
Блинову поручают ответственное задание: взяв роту, найти в роще малую сапёрную лопатку, пропавшую из угнанной машины. Андрей уверен, что не подведёт начальство, но целый день поисков ни к чему не приводит. Расстроенный Блинов и не подозревает, что как раз отсутствие лопатки в роще подтверждает версию Полякова. Поляков докладывает Егорову и прибывшему из Москвы начальству свои соображения по поводу «сильной квалифицированной разведгруппы противника». По его мнению, тайник с рацией находится именно в Шиловичском лесном массиве. Есть реальный шанс завтра или послезавтра взять разыскиваемых с поличным и получить «момент истины», то есть «момент получения от захваченного агента сведений, способствующих поимке всей разыскиваемой группы и полной реализации дела». Московское начальство предлагает провести войсковую операцию. Егоров резко возражает: масштабной войсковой операцией можно скорее добиться создания перед Ставкой видимости активности, а получить лишь трупы. Против и Поляков. Им даются только сутки, и параллельно все же начинается подготовка войсковой операции. Конечно, суток недостаточно, но этот срок назначен самим Сталиным.	Удалось ли Блинову выполнить задание?	Лопатки в роще не было.	Целый день поисков ни к чему не приводит.	В роще отсутствовала лопата.	Ни один из исканий в течение всего дня так и не принёс желаемого результата.	В лесу не нашлось лопаты.	Он нашёл в роще малую сапёрную лопатку.	Андрей уверен, что не подведет.	Он только создавал видимость активности.	В действительности, он лишь прикидывался активным.	Его действия лишь имитировали активность.
"""Лидер незарегистрированной партии ""Другая Россия"" Эдуард Лимонов обратился в Конституционный суд РФ с жалобой на новый закон о митингах. Об этом 9 октября сообщает агентство ""Интерфакс"". ""У меня есть слабая надежда. Закон о митингах противоречит Конституции"", - заявил Лимонов. По его мнению, среди неконституционных пунктов закона - запрет на организацию митингов людьми, которые более двух раз привлекались к административной ответственности за нарушение правил предвыборной агитации, неповиновение полиции, хулиганство, блокирование движения транспорта или производство экстремистских материалов. Закон о митингах был применён лично против Лимонова. Его оштрафовали на 12 тысяч рублей за акцию на Триумфальной площади 31 июля. Федеральный закон ""О собраниях, митингах, демонстрациях, шествиях и пикетированиях"" вступил в силу 9 июня 2012 года. О намерении оспорить закон в КС практически сразу объявили думские фракции ""Справедливой России"" и КПРФ. В итоге запрос в КС направили только эсеры. Лидер фракции Сергей Миронов заявил о ""разделении обязанностей"" между СР и КПРФ. ""С коммунистами мы уже де-факто в долговременном союзе. Взять, к примеру, наши запросы в Конституционный суд: мы - по закону о митингах, они - по закону о выборах губернаторов"", - пояснил он. Об ответе суда на запрос пока не сообщалось."""	"За что нынешнего лидера партии ""Другая Россия"" оштрафовали 31 июля?"	За акцию на Триумфальной площади.	За демонстрацию на Триумфальной площади.	В отношении действа, которое произошло на Триумфальной площади.	В связи с происшедшим на Триумфальной площади событием.	По поводу мероприятия, проведённого на Триумфальной площади.	"За отсутствие регистрации у его партии ""Другая Россия""."	За нарушение правил предвыборной агитации.	"За высказывания в сторону ""Справедливой России"" и КПРФ."	По причине несоблюдения регламента предвыборной пропаганды.	Ввиду отсутствующей регистрации у партии “Другая Россия”, к которой он относится.
"""Лидер незарегистрированной партии ""Другая Россия"" Эдуард Лимонов обратился в Конституционный суд РФ с жалобой на новый закон о митингах. Об этом 9 октября сообщает агентство ""Интерфакс"". ""У меня есть слабая надежда. Закон о митингах противоречит Конституции"", - заявил Лимонов. По его мнению, среди неконституционных пунктов закона - запрет на организацию митингов людьми, которые более двух раз привлекались к административной ответственности за нарушение правил предвыборной агитации, неповиновение полиции, хулиганство, блокирование движения транспорта или производство экстремистских материалов. Закон о митингах был применён лично против Лимонова. Его оштрафовали на 12 тысяч рублей за акцию на Триумфальной площади 31 июля. Федеральный закон ""О собраниях, митингах, демонстрациях, шествиях и пикетированиях"" вступил в силу 9 июня 2012 года. О намерении оспорить закон в КС практически сразу объявили думские фракции ""Справедливой России"" и КПРФ. В итоге запрос в КС направили только эсеры. Лидер фракции Сергей Миронов заявил о ""разделении обязанностей"" между СР и КПРФ. ""С коммунистами мы уже де-факто в долговременном союзе. Взять, к примеру, наши запросы в Конституционный суд: мы - по закону о митингах, они - по закону о выборах губернаторов"", - пояснил он. Об ответе суда на запрос пока не сообщалось."""	Почему в итоге запрос в конституционный суд подали только эсеры?	"КПРФ и СР разделили обязанности и заявление подала только партия ""Справедливая Россия."	КПРФ в союзе с СР договорились об разделении обязанностей.	"Распределение задач между КПРФ и Справедливой Россией состоялось, однако заявление было подано исключительно от ""Справедливой России""."	Обязанности были разделены между КПРФ и Справедливой Россией, но заявление оформила только последняя.	В коалиции между КПРФ и СР достигнуто соглашение по разделу ответственностей.	Остальные испугались статьи за выпуск экстремистских материалов.	Эсеры единственные недовольны новым законом о митингах.	Никто не поддержал их точку зрения.	Их взгляды остались без поддержки со стороны других.	Окружающие испытали страх из-за написания статей с экстремистским содержанием.
Вадим участвовал в разгроме гитлеровцев под Корсунью и в августовском наступлении под Яссами. Стремительный марш на Бухарест и потом через Трансильванские Альпы в Венгрию, битва за Будапешт и кровопролитные бои у озера Балатон, взятие Вены и освобождение Праги ? вот путь, который прошёл Вадим со своим танком по Европе. После победы над Германией танковый полк, в котором служил Вадим, перебросили на Дальний Восток. Началась война с Японией ? труднейший марш через безводную, сожжённую солнцем пустыню и Хинганские горы, бои с самурайскими бандами в Маньчжурии и, наконец, Порт-Артур. На краю материка, в городе русской славы, завершила Советская Армия победоносный путь. Два военных года закалили Вадима, научили его разбираться в людях, научили смелости ? быть сильнее своего страха. Они показали ему, на что способен он, Вадим Белов. На войне он научился многому из того, что было необходимо не только для войны, но и просто для жизни. На войне он увидел свой народ, узнал его стремления и характер и понял, что это его собственный характер, собственные стремления. (По Ю.В. Трифонову)	Чему научился Вадим за два года войны?	Тому, что он очень похож по стремлениям и характеру на весь свой народ.	Тому, что нужно было не для войны, а для жизни.	В его стремлениях и личностных качествах четко прослеживается сходство с характером его народа.	Проявления его характера и желаний точно отражают общие черты всего его народа.	Он сильно напоминает своих сограждан по амбициям и чертам характера.	Тому, что он похож по стремлениям и характеру на немецкий народ.	Тому, что он очень отличается по стремлениям и характеру от всего своего народа.	Тому, как нужно правильно воевать.	Каковы правила ведения боевых действий.	О принципах правильного ведения войны.
"""Нападающим сборной Украины по футболу Андреем Ворониным заинтересовались московские клубы. Как пишет The Daily Telegraph, ЦСКА и ""Динамо"" готовы предложить за 30-летнего форварда 1,5 миллиона фунтов стерлингов (около 2,5 миллиона долларов). Сейчас Воронин является игроком ""Ливерпуля"", однако он не попадает в основной состав и редко выходит на поле. Журналисты также отметили, что тренер ""Ливерпуля"" Рафаэль Бенитес надеется взять в аренду на полгода аргентинского полузащитника Макси Родригеса, выступающего за мадридский ""Атлетико"". Сообщается, что клубы могут заключить сделку в ближайшие дни. Предполагается, что Родригес поможет усилить линию атаки ""Ливерпуля"". Большую часть своей футбольной карьеры Андрей Воронин провел в Германии. Он выступал за такие команды как ""Боруссия"" (Менхенгладбах), ""Майнц"", ""Кельн"" и ""Байер"". В июле 2007 года он перешел в ""Ливерпуль"" на правах свободного агента. За свою новую команду Воронин забил всего пять голов. В сентябре 2008 года нападающего отдали в аренду берлинской ""Герте"". В сезоне-2008/09 Андрей Воронин принял участие в 27 матчах чемпионата Германии, забив 11 мячей. В 2009 году форвард вернулся в ""Ливерпуль"", однако ему так и не удалось завоевать доверие главного тренера. За сборную Украины Воронин выступает с 2002 года."""	"По какой причине тренер ""Ливерпуля"" Рафаэль Бенитес хочет взять в аренду на полгода аргентинского полузащитника Макси Родригеса?"	Для усиления линии атаки Ливерпуля.	"Родригес поможет усилить линию атаки ""Ливерпуля."	"""Ливерпуль"" получит усиление в нападении благодаря Родригесу."	"Присоединение Родригеса усилит атакующие возможности ""Ливерпуля""."	"Родригес станет укреплением атакующих позиций для ""Ливерпуля""."	"Желание забрать его из мадридского ""Атлетико."	Чтобы он работал на правах свободного агента.	Потому что Андрею Воронину не удалось завоевать доверие главного тренера.	Для того, чтобы он функционировал как свободный агент.	Поскольку Андрей Воронин не сумел убедить главного тренера в своей надежности.
"Тем временем в Золотом Городе и соседних странах деспотической властью вновь попрана свобода, там свирепствует голод и чума, реки отравлены, народ испытывает неисчислимые бедствия; из уст в уста передаётся легенда о Лаона и о прекрасной всаднице, несущей надежду на освобождение. Жрецы и владыки возносят мольбы Богу, каждый — своему. И тут является коварный Иберийский Жрец, задумавший выковать из Ислама смертельного врага его, Жреца, недругам. Он уговаривает Тирана и жрецов сжечь Лаона и Лаону на огромном костре — это-де принесёт спасение царству и самодержавной власти Тирана. Вдруг перед Тираном появляется прекрасный незнакомец. Он обращается к деспоту и его приближённым с пылкой речью. Тиран делает попытку заколоть его, но по необъяснимой причине рука его не слушается. Незнакомец обещает доставить им Лаона в тот же вечер, при условии, что они отправят Цитну невредимой в край Вольности, Америку. Незнакомец сбрасывает плащ — это Лаон. Внезапно в тронный зал врывается мощный конь с прекрасной всадницей. Тиран и присные в ужасе бегут пред нею, но Иберийский Жрец стыдит их, призывает схватить Цитну и, в нарушение клятвы, казнить вместе с Лаоном. Цитна сама всходит на костёр к Лаону."	Какие действие принимает Тиран по отношению к незнакомцу?	Пытается заколоть его, позже решает казнить его.	Сначал он делает попытку заколоть его, потом решает казнить его вместе с Цитной.	Изначально хочет убить его колющим предметом, после чего приходит к решению о его казни.	Сперва пытается убить его ударом, впоследствии приходит к выводу о необходимости его казни.	Сперва планирует нанести ему удар ножом, после чего приходит к решению о казни его вместе с Цитной.	Он разрешает ему остаться и стать верным соратником.	Он его убивает и сжигает тело на костре.	Он даёт ему возможность оставаться в команде, став верноподданным товарищем.	Он соглашается, чтобы оставшийся стал его преданным спутником.	Он дает разрешение на то, чтобы тот остался и превратился в надежного напарника.
В темноте звучали голоса и погорше. Один из мёртвых жил на острове, внутри которого был заключён огонь. Он любил девушку, которую звали Джудитта, и она тоже любила его. Однажды они подались в горы и встретили там одноглазую старуху — этим глазом старуха видела лишь истинное. Старуха предсказала Джудитте, что та умрёт родами. И хотя рассказчик решил не трогать любимую, чтобы та жила, она заставила его овладеть собой и вышла за него замуж, она была очень земная женщина. Когда же Джудитта родила ребёнка и умерла и рассказчик вышел из хижины с новорождённым на руках, он увидел своё племя исполняющим гимн в честь символа плодородия — фаллоса, и как раз в этот момент огонь вырвался из-под земли на горах, и все стояли и ждали его, не пытаясь спастись, потому что спастись было невозможно, и пели гимн в честь плодородия жизни. В этот момент рассказчик понял смысл бытия. Жизни важна лишь жизнь вообще. Ей, конечно, нужны и деревья, и люди, и цветы, но они ей не дороги по отдельности — проявив себя в них, жизнь легко их уничтожает.	Сбылось ли предсказание старухи о смерти Джудитты?	Предсказание сбылось, Джудитта умерла при родах.	Предсказание сбылось, Джудит родила ребенка и умерла.	Прогноз оказался верным: Джудитта скончалась во время родов.	Как было предсказано, жизнь Джудитты оборвалась при рождении ребенка.	Прогноз оказался верным: после рождения ребенка Джудит скончалась.	Предсказание не сбылось, Джудитта прожила долгую жизнь.	Предсказание не сбылось, Джудитта ушла от любимого и дожила до старости.	Джудитта пережила предсказание о своей ранней смерти, прожив значительно дольше.	Пророчество оказалось ложным, и Джудитта, покинув своего возлюбленного, прожила до глубокой старости.	Прогноз оказался ошибочным, и Джудитта прожила длинные годы.
Детство братья провели на воле, в имении отца, который сам был из кантонистов, но выслужил офицерский чин и оставил детям потомственное дворянство. После смерти отца именье у них отсудили за долги. Николай с девятнадцати лет сидел в казённой палате, но тосковал там страшно и все мечтал купить себе маленькую усадебку. Сам Иван Иваныч никогда не сочувствовал желанию брата «запереть себя на всю жизнь в собственную усадьбу». Николай же ни о чем другом просто не мог думать. Он все время представлял себе будущую усадьбу, где непременно должен был расти крыжовник. Николай копил деньги, недоедал, женился без любви на некрасивой, но богатой вдове. Он держал жену впроголодь, а деньги ее положил на своё имя в банк. Жена не вынесла такой жизни и вскоре умерла, а Николай, нимало не раскаиваясь, купил себе именье, выписал двадцать кустов крыжовника, посадил их и зажил помещиком. Когда Иван Иваныч приехал навестить брата, то был неприятно поражён тем, как тот опустился, постарел и обрюзг. Он стал настоящим барином, много ел, судился с соседними заводами и говорил тоном министра фразы вроде: «образование необходимо, но для народа оно преждевременно». Николай потчевал брата крыжовником, и по нему было видно, что он доволен своей судьбой и самим собой.	Что увидел Иван Иваныч, когда приехал навестить брата?	Николай стал настоящим барином, очень много ел, он обрюзг и опустился.	Николай опустился, постарел и обрюзг.	Годы коснулись Николая: он поддался старению и уже не тот, что прежде.	Превратившись в настоящего хозяина, Николай начал чрезмерно употреблять еду, что привело к его ожирению и упадку.	Став полноправным владыкой, Николай позволял себе избыточно питаться, что привело к его ожирению и социальному падению.	Николай женился второй раз, и у него было семнадцать детей.	Николай выглядел молодым и здоровым.	Николай стал настоящим барином, завёл левретку и ездил на охоту.	Во втором браке Николая появилось семнадцать потомков.	После второго брака у Николая стало семнадцать детей.
Детство братья провели на воле, в имении отца, который сам был из кантонистов, но выслужил офицерский чин и оставил детям потомственное дворянство. После смерти отца именье у них отсудили за долги. Николай с девятнадцати лет сидел в казённой палате, но тосковал там страшно и все мечтал купить себе маленькую усадебку. Сам Иван Иваныч никогда не сочувствовал желанию брата «запереть себя на всю жизнь в собственную усадьбу». Николай же ни о чем другом просто не мог думать. Он все время представлял себе будущую усадьбу, где непременно должен был расти крыжовник. Николай копил деньги, недоедал, женился без любви на некрасивой, но богатой вдове. Он держал жену впроголодь, а деньги ее положил на своё имя в банк. Жена не вынесла такой жизни и вскоре умерла, а Николай, нимало не раскаиваясь, купил себе именье, выписал двадцать кустов крыжовника, посадил их и зажил помещиком. Когда Иван Иваныч приехал навестить брата, то был неприятно поражён тем, как тот опустился, постарел и обрюзг. Он стал настоящим барином, много ел, судился с соседними заводами и говорил тоном министра фразы вроде: «образование необходимо, но для народа оно преждевременно». Николай потчевал брата крыжовником, и по нему было видно, что он доволен своей судьбой и самим собой.	К чему стремился Николай?	Он все время представлял себе будущую усадьбу, где непременно должен был расти крыжовник.	Николай собирался купить себе маленькую усадебку.	В его мечтах постоянно витала картина идеальной усадьбы, в которой обязательно находилось место для крыжовника.	Все его представления о доме мечты включали в себя наличие крыжовника в огороде.	Николай намеревался стать владельцем небольшой усадьбы.	Николай хотел отсудить у отца именье.	Николай хотел провести старость на воле, в имении отца.	Николай Иваныч всегда сочувствовал желанию брата.	В его планах было наслаждаться старыми годами в свободном пространстве родительской усадьбы.	Всегда было свойственно Николаю Иванычу поддерживать стремления брата.
Американского рэпера Басту Раймса обвинили в умышленном причинении вреда здоровью человека, передает Associated Press. Он предстанет перед судом за нападение на сотрудника тренажерного зала в Нью-Йорке. Музыкант бросил в него шейкер с протеиновым клубничным коктейлем. Конфликт произошел 5 августа вечером. Раймс и работник фитнес-клуба поссорились и начали громко спорить, после чего рэпер метнул в того полулитровый шейкер и попал в затылок. Насколько тяжёлую травму получил пострадавший, не уточняется. Очевидцы сообщают, что сотрудник зала не разрешил музыканту привести на тренировку телеоператора, из-за чего и возник спор. Прибывшая на место происшествия полиция арестовала Раймса, но через несколько часов отпустила под залог. Суд над рэпером назначен на 8 ноября. Раймс не первый раз обвиняется в нанесении увечий человеку. В 2008-м его приговорили к трем годам условно за нападения на своего бывшего водителя и поклонника. Последний, по утверждению рэпера, плюнул на его машину. Баста Раймс (Тревор Смит-младший) — популярный исполнитель рэпа, продюсер и актёр. В общей сложности он записал 9 альбомов и 11 раз номинировался на премию «Грэмми».	В чем обвиняют американского рэпера Басту Раймса?	Он предстанет перед судом за нападение на сотрудника тренажерного зала в Нью-Йорке. Музыкант бросил в него шейкер с протеиновым клубничным коктейлем.	Он бросил в сотрудника тренажёрного зала полулитровый шейкер.	Полулитровый контейнер для напитков был направлен в сторону персонала тренажёрки.	В направлении сотрудника спортзала полетел полулитровый шейкер, брошенный им.	Он будет судим за агрессию против работника фитнес-центра в Нью-Йорке, использовав при этом шейкер с клубничным протеиновым напитком в качестве снаряда.	Его будут судить за опоздания в спортзал.	Он предстанет перед судом за отравление сотрудника тренажерного зала протеиновым коктейлем.	Он предстанет перед судом за нападение на сотрудника тренажерного зала в Нью-Йорке. Музыкант бросил в него гантель.	Его ждет судебное разбирательство из-за агрессии в отношении работника фитнес-клуба в Нью-Йорке, в ходе которой он использовал гантель как средство нападения.	За действие, заключающееся в отравлении сотрудника спортивного комплекса с использованием протеинового коктейля, его ждет судебное разбирательство.
"""Губернатор Ярославской области Сергей Вахруков объявил на территории региона трехдневный траур в связи с катастрофой Як-42, сообщает РИА Новости. Траур продлится с 9 по 11 сентября. Вахруков также добавил, что семьям погибших будут выплачены компенсации: городские и областные власти выделят в сумме по 450 тысяч рублей, авиакомпания - по 2 миллиона рублей. Як-42, на котором летела хоккейная команда ""Локомотив"", разбился неподалеку от ярославского аэропорта ""Туношна"" около 16:00 7 сентября. Вскоре после взлёта самолёт упал на берегу Волги - хвост оказался на суше, а основная часть фюзеляжа, с пассажирами и экипажем, - в воде. На борту находилось 45 человек, в том числе 8 членов экипажа и 37 хоккеистов и тренеров ""Локомотива"". Выжили только двое - хоккеист Александр Галимов и бортпроводник Александр Сизов. Оба находятся в тяжёлом состоянии. Как сообщает пресс-служба МЧС, по состоянию на 9:00 8 сентября обнаружены тела всех погибших в авиакатастрофе. По данным портала Ярославской области, в операции по ликвидации последствий катастрофы задействовано 150 человек. Ожидается, что позднее 8 сентября место крушения самолёта посетит президент России Дмитрий Медведев. Причина авиакатастрофы на данный момент неизвестна. По данным источников агентства ""Интерфакс"", рассматриваются две основные версии - отказ одного из двигателей и ошибка пилотирования. Техническим расследованием катастрофы будет заниматься комиссия Межгосударственного авиационного комитета во главе с Леонидом Каширским."""	О каких выплатах объявил Губернатор Ярославской области Сергей Вахруков в связи с катастрофой Як-42 на территории региона?	О выделении городскими и областными властями и авиакомпанией денежных компенсаций.	О выплатах компенсаций семьям погибших.	Про выплаты возмещений семействам скончавшихся.	Об оказании финансовой поддержки от местных и региональных органов власти и авиа перевозчика.	О предоставлении финансовой поддержки семьям, потерявшим близких.	О выделении областными властями эфирного времени на траурные программы.	О выделении городскими властями денег на новый самолёт.	Об отказе авиакомпании в выделении компенсаций семьям погибших.	Касательно отказа авиаперевозчика в предоставлении финансовых возмещений родственникам умерших.	О том, как муниципалитет выделил финансирование для приобретения нового авиалайнера.
"""В московском ОВД ""Дорогомилово"" возбуждено уголовное дело о хулиганстве по факту потасовки у торгового центра ""Европейский"", запись которой была выложена в интернете. Об этом сообщает агентство ""Интерфакс"" со ссылкой на пресс-службу ГУ МВД по Москве. Руководитель проекта ""СтопХам"" Дмитрий Чугунов подтвердил, что дело возбуждено. Ранее он заявил, что потерпевшие не собираются обращаться в полицию. Инцидент у ТЦ ""Европейский"" произошел несколько дней назад. Активисты движения ""Наши"" попытались убедить некую женщину, чтобы она отогнала машину с неположенного места. В ходе акции на неправильно припаркованные машины наклеивались стикеры ""Мне плевать на всех, паркуюсь где хочу"". Женщина вступила в словесный конфликт с активистами. Вскоре к месту инцидента подъехал внедорожник с молодыми людьми. Результатом их появления стала потасовка. Подозреваемых в деле пока нет. Сообщалось, что активистам противостояли жена и сын заместителя полпреда Чечни при президенте РФ Тамерлана Мингаева. В правительстве республики назвали инцидент провокацией. Чугунов отметил, что задача акции была выполнена: неправильно припаркованная машина уехала, и случай получил общественный резонанс. Со своей стороны полпред Чечни при президенте РФ Бекхан Таймасханов заявил, что считает инцидент исчерпанным."""	Чем занимаются активисты движения «Наши»?	Активисты данного движения борются с несознательными гражданами, которые паркуются в неположенных местах.	Активисты движения «Наши» борются с владельцами неправильно припаркованных машин.	Приверженцы этой инициативы выступают против людей, намеренно нарушающих правила парковки, оставляя свои автомобили там, где это не разрешено.	Энтузиасты данной кампании активно противодействуют действиям несознательных водителей, которые выбирают для парковки запрещенные места.	Сторонники организации «Наши» принимают меры против водителей, неправильно располагающих свои машины.	Активисты движения «Наши» борются c молодыми людьми на внедорожниках.	Активисты движения «Наши» борются за снижение пенсионного возраста и увеличение заработных плат в городе.	Члены организации «Наши» активно противостоят молодым водителям внедорожников.	Участники группировки «Наши» принимают участие в спорах с молодыми лицами, пользующимися внедорожниками.	Участники группировки «Наши» прилагают усилия к тому, чтобы добиться сокращения пенсионного возраста и улучшения финансового положения работников за счет увеличения зарплат в муниципалитете.
"""В московском ОВД ""Дорогомилово"" возбуждено уголовное дело о хулиганстве по факту потасовки у торгового центра ""Европейский"", запись которой была выложена в интернете. Об этом сообщает агентство ""Интерфакс"" со ссылкой на пресс-службу ГУ МВД по Москве. Руководитель проекта ""СтопХам"" Дмитрий Чугунов подтвердил, что дело возбуждено. Ранее он заявил, что потерпевшие не собираются обращаться в полицию. Инцидент у ТЦ ""Европейский"" произошел несколько дней назад. Активисты движения ""Наши"" попытались убедить некую женщину, чтобы она отогнала машину с неположенного места. В ходе акции на неправильно припаркованные машины наклеивались стикеры ""Мне плевать на всех, паркуюсь где хочу"". Женщина вступила в словесный конфликт с активистами. Вскоре к месту инцидента подъехал внедорожник с молодыми людьми. Результатом их появления стала потасовка. Подозреваемых в деле пока нет. Сообщалось, что активистам противостояли жена и сын заместителя полпреда Чечни при президенте РФ Тамерлана Мингаева. В правительстве республики назвали инцидент провокацией. Чугунов отметил, что задача акции была выполнена: неправильно припаркованная машина уехала, и случай получил общественный резонанс. Со своей стороны полпред Чечни при президенте РФ Бекхан Таймасханов заявил, что считает инцидент исчерпанным."""	Почему возбудили уголовное дело?	Потому что потасовка у ТЦ - это хулиганство.	Потому что в ходе акции возникла потасовка.	В результате мероприятия произошла драка.	Поскольку драка возле торгового центра является проявлением хулиганских действий.	Так ка конфликт около торгового центра относится к хулиганскому поведению.	Из-за словесного конфликта женщины с активистами.	Из-за провокации со стороны активистов.	Потому что запись была выложена в интернет.	Вследствие устного спора между представительницей женского пола и протестующими.	Поскольку публикация произошла онлайн.
